delivery_date,time_code,area_group,clearing_price_estimate,upside_depth_mw,downside_depth_mw,tightest_depth_mw,price_band_jpy_kwh,stack_regime
2026-09-06,41,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,16.76,2046.9000000000015,1228.3999999999978,1228.3999999999978,5.0,Thin stack
2026-09-06,41,System Price,20.1,8247.700000000004,2601.399999999994,2601.399999999994,5.0,Balanced stack
2026-09-06,42,Hokkaido / Tohoku / Tokyo / Chubu,20.4,6132.200000000001,1615.300000000003,1615.300000000003,5.0,Balanced stack
2026-09-06,42,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,13.01,1198.2999999999993,2449.0,1198.2999999999993,5.0,Thin stack
2026-09-06,42,System Price,18.0,6624.0,2845.2000000000044,2845.2000000000044,5.0,Balanced stack
2026-09-06,43,Hokkaido / Tohoku / Tokyo / Chubu,17.14,4336.800000000003,1692.5999999999985,1692.5999999999985,5.0,Balanced stack
2026-09-06,43,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,15.1,1860.9000000000015,1693.5,1693.5,5.0,Balanced stack
2026-09-06,43,System Price,16.7,5329.4000000000015,2680.7000000000044,2680.7000000000044,5.0,Balanced stack
2026-09-06,44,Hokkaido / Tohoku,11.97,163.60000000000036,1504.199999999999,163.60000000000036,5.0,Scarcity stack
2026-09-06,44,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,13.01,1206.699999999997,2733.600000000002,1206.699999999997,5.0,Thin stack
2026-09-06,44,System Price,13.92,2067.9000000000015,7061.799999999996,2067.9000000000015,5.0,Balanced stack
2026-09-06,44,Tokyo / Chubu,16.0,1896.300000000003,3131.5999999999985,1896.300000000003,5.0,Balanced stack
2026-09-06,45,Hokkaido / Tohoku / Tokyo / Chubu,14.56,694.7999999999993,4456.700000000001,694.7999999999993,5.0,Thin stack
2026-09-06,45,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,13.01,1207.0,2801.7000000000007,1207.0,5.0,Thin stack
2026-09-06,45,System Price,13.89,2315.0,6720.899999999994,2315.0,5.0,Balanced stack
