date,market,region,asset_class,frequency,contract,price,currency,unit
2025-07-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.810833333333333,JPY,JPY/kWh
2025-07-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.186875,JPY,JPY/kWh
2025-07-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.333541666666667,JPY,JPY/kWh
2025-07-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,17.76875,JPY,JPY/kWh
2025-07-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.599375,JPY,JPY/kWh
2025-07-31,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.74375,JPY,JPY/kWh
2025-08-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.492291666666667,JPY,JPY/kWh
2025-08-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.084166666666667,JPY,JPY/kWh
2025-08-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.0775,JPY,JPY/kWh
2025-08-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.2475,JPY,JPY/kWh
2025-08-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,16.679166666666667,JPY,JPY/kWh
2025-08-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,17.89625,JPY,JPY/kWh
2025-08-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.857708333333333,JPY,JPY/kWh
2025-08-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.043750000000001,JPY,JPY/kWh
2025-08-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.814791666666666,JPY,JPY/kWh
2025-08-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.922083333333333,JPY,JPY/kWh
2025-08-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.645416666666668,JPY,JPY/kWh
2025-08-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.135416666666666,JPY,JPY/kWh
2025-08-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.014375,JPY,JPY/kWh
2025-08-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.351875,JPY,JPY/kWh
2025-08-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.4975,JPY,JPY/kWh
2025-08-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.157291666666667,JPY,JPY/kWh
2025-08-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.233125,JPY,JPY/kWh
2025-08-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.220416666666667,JPY,JPY/kWh
2025-08-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.185833333333333,JPY,JPY/kWh
2025-08-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.324375000000002,JPY,JPY/kWh
2025-08-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.42125,JPY,JPY/kWh
2025-08-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.2325,JPY,JPY/kWh
2025-08-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.647083333333333,JPY,JPY/kWh
2025-08-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.007916666666667,JPY,JPY/kWh
2025-08-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.707708333333334,JPY,JPY/kWh
2025-08-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.852083333333333,JPY,JPY/kWh
2025-08-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.091458333333334,JPY,JPY/kWh
2025-08-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.673958333333333,JPY,JPY/kWh
2025-08-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.64875,JPY,JPY/kWh
2025-08-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.185833333333333,JPY,JPY/kWh
2025-08-31,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.497291666666667,JPY,JPY/kWh
2025-09-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.061250000000001,JPY,JPY/kWh
2025-09-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.579791666666665,JPY,JPY/kWh
2025-09-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.348333333333334,JPY,JPY/kWh
2025-09-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.957708333333334,JPY,JPY/kWh
2025-09-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.998958333333334,JPY,JPY/kWh
2025-09-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.787083333333333,JPY,JPY/kWh
2025-09-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.7675,JPY,JPY/kWh
2025-09-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.150416666666667,JPY,JPY/kWh
2025-09-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.465833333333334,JPY,JPY/kWh
2025-09-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.551041666666668,JPY,JPY/kWh
2025-09-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.723125000000001,JPY,JPY/kWh
2025-09-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.637083333333333,JPY,JPY/kWh
2025-09-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.335416666666667,JPY,JPY/kWh
2025-09-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.771458333333333,JPY,JPY/kWh
2025-09-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.697291666666667,JPY,JPY/kWh
2025-09-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.657708333333332,JPY,JPY/kWh
2025-09-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.496458333333335,JPY,JPY/kWh
2025-09-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,16.49020833333333,JPY,JPY/kWh
2025-09-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.332291666666666,JPY,JPY/kWh
2025-09-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.321458333333334,JPY,JPY/kWh
2025-09-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.679791666666667,JPY,JPY/kWh
2025-09-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.900625,JPY,JPY/kWh
2025-09-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.018125,JPY,JPY/kWh
2025-09-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.930833333333334,JPY,JPY/kWh
2025-09-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.731041666666668,JPY,JPY/kWh
2025-09-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.52375,JPY,JPY/kWh
2025-09-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.363541666666666,JPY,JPY/kWh
2025-09-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.326875,JPY,JPY/kWh
2025-09-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.289166666666667,JPY,JPY/kWh
2025-09-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.836875000000001,JPY,JPY/kWh
2025-10-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.481458333333334,JPY,JPY/kWh
2025-10-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.314166666666667,JPY,JPY/kWh
2025-10-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.366875,JPY,JPY/kWh
2025-10-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.628958333333333,JPY,JPY/kWh
2025-10-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.925208333333334,JPY,JPY/kWh
2025-10-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.709791666666668,JPY,JPY/kWh
2025-10-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.027708333333335,JPY,JPY/kWh
2025-10-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.419791666666667,JPY,JPY/kWh
2025-10-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.38375,JPY,JPY/kWh
2025-10-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.47,JPY,JPY/kWh
2025-10-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.557916666666666,JPY,JPY/kWh
2025-10-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.425833333333333,JPY,JPY/kWh
2025-10-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.3375,JPY,JPY/kWh
2025-10-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.36875,JPY,JPY/kWh
2025-10-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.302083333333334,JPY,JPY/kWh
2025-10-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,18.559166666666666,JPY,JPY/kWh
2025-10-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.667708333333332,JPY,JPY/kWh
2025-10-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.129791666666668,JPY,JPY/kWh
2025-10-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.910416666666666,JPY,JPY/kWh
2025-10-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.829166666666666,JPY,JPY/kWh
2025-10-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.415625,JPY,JPY/kWh
2025-10-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.167083333333332,JPY,JPY/kWh
2025-10-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.518749999999999,JPY,JPY/kWh
2025-10-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.100833333333332,JPY,JPY/kWh
2025-10-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.500833333333334,JPY,JPY/kWh
2025-10-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.449375,JPY,JPY/kWh
2025-10-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.928958333333332,JPY,JPY/kWh
2025-10-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.204791666666667,JPY,JPY/kWh
2025-10-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.9025,JPY,JPY/kWh
2025-10-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.43,JPY,JPY/kWh
