delivery_date,time_code,area_group,bid_price_jpy_kwh,sell_cumulative_mw,buy_cumulative_mw,net_supply_mw,source
2026-08-24,6,Hokkaido / Tohoku,15.0,9224.7,9128.7,96.0,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,20.0,9289.3,9085.1,204.1999999999989,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,25.0,9324.8,9035.0,289.7999999999993,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,30.0,9455.9,8986.0,469.89999999999964,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,40.0,9455.9,8899.9,556.0,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,50.0,9455.9,8821.9,634.0,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,75.0,9459.1,8599.040192539109,860.0598074608915,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,100.0,9459.1,8445.4,1013.7000000000007,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,150.0,9459.1,8432.6,1026.5,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,200.0,9459.1,8429.3,1029.800000000001,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,300.0,9459.1,8014.8,1444.3000000000002,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,500.0,9459.1,8009.356664616089,1449.7433353839115,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,800.0,9459.1,8008.841635788781,1450.2583642112195,JEPX processed sampled bidding curve
2026-08-24,6,Hokkaido / Tohoku,1000.0,9459.1,0.0,9459.1,JEPX processed sampled bidding curve
2026-08-24,6,System Price,0.0,16992.6,54422.4,-37429.8,JEPX processed sampled bidding curve
2026-08-24,6,System Price,1.0,40366.2,54263.6,-13897.400000000001,JEPX processed sampled bidding curve
2026-08-24,6,System Price,5.0,40594.0,53735.0,-13141.0,JEPX processed sampled bidding curve
2026-08-24,6,System Price,10.0,41144.4,50264.1,-9119.699999999997,JEPX processed sampled bidding curve
2026-08-24,6,System Price,15.0,45154.6,48314.8,-3160.2000000000044,JEPX processed sampled bidding curve
2026-08-24,6,System Price,20.0,48165.3,43155.5,5009.800000000003,JEPX processed sampled bidding curve
2026-08-24,6,System Price,25.0,52028.3,41739.7,10288.600000000006,JEPX processed sampled bidding curve
2026-08-24,6,System Price,30.0,53110.8,41413.2,11697.600000000006,JEPX processed sampled bidding curve
2026-08-24,6,System Price,40.0,53891.0,36951.0,16940.0,JEPX processed sampled bidding curve
2026-08-24,6,System Price,50.0,53947.3,36244.4,17702.9,JEPX processed sampled bidding curve
2026-08-24,6,System Price,75.0,53983.1,28870.8,25112.3,JEPX processed sampled bidding curve
2026-08-24,6,System Price,100.0,54055.9,27801.4,26254.5,JEPX processed sampled bidding curve
2026-08-24,6,System Price,150.0,54055.9,27148.4,26907.5,JEPX processed sampled bidding curve
2026-08-24,6,System Price,200.0,54055.9,27143.1,26912.800000000003,JEPX processed sampled bidding curve
2026-08-24,6,System Price,300.0,54056.0,19564.1,34491.9,JEPX processed sampled bidding curve
2026-08-24,6,System Price,500.0,54056.0,19556.233385556425,34499.76661444358,JEPX processed sampled bidding curve
2026-08-24,6,System Price,800.0,54056.0,19553.883346389106,34502.116653610894,JEPX processed sampled bidding curve
2026-08-24,6,System Price,1000.0,54056.0,0.0,54056.0,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,0.0,6637.1,26072.1,-19435.0,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,1.0,19030.3,26050.4,-7020.100000000002,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,5.0,19143.2,25847.4,-6704.200000000001,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,10.0,19420.0,24340.8,-4920.799999999999,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,15.0,20774.1,22741.8,-1967.7000000000007,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,20.0,21387.9,20647.1,740.8000000000029,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,25.0,22486.3,20002.0,2484.2999999999993,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,30.0,22909.6,19944.4,2965.199999999997,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,40.0,22951.6,16205.4,6746.199999999999,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,50.0,22961.6,15787.3,7174.299999999999,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,75.0,22964.0,13118.355840821567,9845.644159178433,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,100.0,23016.8,12313.4,10703.4,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,150.0,23016.8,11854.02950819672,11162.77049180328,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,200.0,23016.8,11844.8,11172.0,JEPX processed sampled bidding curve
2026-08-24,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,300.0,23016.8,7683.704579084183,15333.095420915815,JEPX processed sampled bidding curve
